frecuencia_Hz,amplitud_FFT_V
26560.0,0.013298719499771811
26600.0,0.02489822788429069
26640.0,0.0377445288428464
26680.0,0.055677296520854416
26720.0,0.07297021057400929
26760.0,0.05399796558460706
26800.0,0.06667226316034257
26840.0,0.07426293169936535
26880.0,0.04891089463500234
26920.0,0.04729956387560269
26960.0,0.06477574069220614
27000.0,0.07565437852140035
27040.0,0.04154634629682647
27080.0,0.004764902246474212
27120.0,0.016143816566974892
27160.0,0.06392494303942459
27200.0,0.04474219391896183
27240.0,0.12153831970594572
27280.0,0.07703867619447659
27320.0,0.08428112486565564
27360.0,0.08083586437886857
27400.0,0.03238684405576183
27440.0,0.08830516001506078
27480.0,0.09629453319952266
27520.0,0.06875379626456532
27560.0,0.03446887579838267
27600.0,0.1004408478022286
27640.0,0.08154827851103433
27680.0,0.11912514487360468
27720.0,0.0852984702704128
27760.0,0.021703775141504407
27800.0,0.03674074189609071
27840.0,0.04096232467057595
27880.0,0.09173262431007234
27920.0,0.07013833222395803
27960.0,0.01885456302048171
28000.0,0.03492108455136289
28040.0,0.08754017299093746
28080.0,0.053427818975405446
28120.0,0.019466274996057485
28160.0,0.06773622346322514
28200.0,0.06464255282004915
28240.0,0.06485262449298201
28280.0,0.009899624115628615
28320.0,0.05540670966903238
28360.0,0.007184602152548685
28400.0,0.044334599533695555
28440.0,0.025059543475022476
28480.0,0.054578245102384584
28520.0,0.07294318628346169
28560.0,0.11300014522983721
28600.0,0.1230323799419599
28640.0,0.07291714649419577
28680.0,0.0592277122740835
28720.0,0.06879987222466277
28760.0,0.0869921281269272
28800.0,0.08710484881914425
28840.0,0.09239694509590343
28880.0,0.09863148926785785
28920.0,0.0701670382745843
28960.0,0.047532092946270504
29000.0,0.08666964618424228
29040.0,0.05357901618527717
29080.0,0.007530151074292161
29120.0,0.044934827911643736
29160.0,0.07627498575444125
29200.0,0.045051413975330926
29240.0,0.025295769136750607
29280.0,0.035258736078798675
29320.0,0.03481700379467656
29360.0,0.04063290506696551
29400.0,0.0419803377050728
29440.0,0.05684943417767445
29480.0,0.05709679574592335
29520.0,0.05397350231300681
29560.0,0.015314951896428218
29600.0,0.02598676960189729
29640.0,0.017317942016489736
29680.0,0.0384505025040026
29720.0,0.07781466282945564
29760.0,0.07493278555890363
29800.0,0.019003752655340416
29840.0,0.07872177095729195
29880.0,0.033467801820860454
29920.0,0.059406864098579135
